algorithm,scene,alpha,episode_revenue,final_episode_gini,final_episode_bottom20_income_mean,mean_completion_rate
Local-First,normal,,1245.0,0.0954082998661312,16.25,0.9861785824121465
Demand-Greedy,normal,,350.0,0.20257142857142862,2.8333333333333335,0.27841898331752823
Local-First,shock,,1315.0,0.09648922686945505,16.916666666666668,0.9030106988805313
Demand-Greedy,shock,,631.0,0.13082408874801899,7.083333333333333,0.3572197461234674
