algorithm,scene,alpha,episode_revenue,final_episode_gini,final_episode_bottom20_income_mean,mean_completion_rate
PPO,normal,0.0,1207.0,0.07308754487710578,16.666666666666668,0.9593852014960943
PPO,shock,0.0,1225.0,0.09125170068027222,15.666666666666666,0.8573624245647338
PPO,normal,0.1,1211.0,0.07870905587668608,16.166666666666668,0.9610608712672091
PPO,shock,0.1,1227.0,0.08265417006248299,16.083333333333332,0.8575102871872099
PPO,normal,0.2,1217.0,0.09752122706107924,15.583333333333334,0.9665710611136327
PPO,shock,0.2,1230.0,0.06289972899729013,17.5,0.8574765889005953
PPO,normal,0.4,1205.0,0.0720193637621025,16.583333333333332,0.9587296035299506
PPO,shock,0.4,1229.0,0.07506102522375913,16.666666666666668,0.85730466034872
