algorithm,scene,alpha,driver_index,income
PPO,shock,0.2,43,18.0
PPO,shock,0.2,44,20.0
PPO,shock,0.2,45,20.0
PPO,shock,0.2,46,19.0
PPO,shock,0.2,47,18.0
PPO,shock,0.2,48,22.0
PPO,shock,0.2,49,21.0
PPO,shock,0.2,50,21.0
PPO,shock,0.2,51,19.0
PPO,shock,0.2,52,22.0
PPO,shock,0.2,53,22.0
PPO,shock,0.2,54,18.0
PPO,shock,0.2,55,24.0
PPO,shock,0.2,56,19.0
PPO,shock,0.2,57,21.0
PPO,shock,0.2,58,20.0
PPO,shock,0.2,59,23.0
PPO,shock,0.4,0,17.0
PPO,shock,0.4,1,25.0
PPO,shock,0.4,2,17.0
PPO,shock,0.4,3,25.0
PPO,shock,0.4,4,21.0
PPO,shock,0.4,5,18.0
PPO,shock,0.4,6,17.0
PPO,shock,0.4,7,21.0
PPO,shock,0.4,8,22.0
PPO,shock,0.4,9,20.0
PPO,shock,0.4,10,20.0
PPO,shock,0.4,11,19.0
PPO,shock,0.4,12,21.0
PPO,shock,0.4,13,21.0
PPO,shock,0.4,14,20.0
PPO,shock,0.4,15,17.0
PPO,shock,0.4,16,23.0
PPO,shock,0.4,17,23.0
PPO,shock,0.4,18,25.0
PPO,shock,0.4,19,23.0
PPO,shock,0.4,20,18.0
PPO,shock,0.4,21,19.0
PPO,shock,0.4,22,17.0
PPO,shock,0.4,23,20.0
PPO,shock,0.4,24,17.0
PPO,shock,0.4,25,19.0
PPO,shock,0.4,26,22.0
PPO,shock,0.4,27,21.0
PPO,shock,0.4,28,17.0
PPO,shock,0.4,29,23.0
PPO,shock,0.4,30,20.0
PPO,shock,0.4,31,21.0
PPO,shock,0.4,32,17.0
PPO,shock,0.4,33,14.0
PPO,shock,0.4,34,21.0
PPO,shock,0.4,35,24.0
PPO,shock,0.4,36,19.0
PPO,shock,0.4,37,21.0
PPO,shock,0.4,38,20.0
PPO,shock,0.4,39,23.0
PPO,shock,0.4,40,19.0
PPO,shock,0.4,41,21.0
PPO,shock,0.4,42,22.0
PPO,shock,0.4,43,24.0
PPO,shock,0.4,44,23.0
PPO,shock,0.4,45,27.0
PPO,shock,0.4,46,20.0
PPO,shock,0.4,47,17.0
PPO,shock,0.4,48,25.0
PPO,shock,0.4,49,19.0
PPO,shock,0.4,50,21.0
PPO,shock,0.4,51,21.0
PPO,shock,0.4,52,25.0
PPO,shock,0.4,53,22.0
PPO,shock,0.4,54,21.0
PPO,shock,0.4,55,18.0
PPO,shock,0.4,56,15.0
PPO,shock,0.4,57,18.0
PPO,shock,0.4,58,20.0
PPO,shock,0.4,59,23.0
